City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Monrovia,LR,2022-10-03 22:45:38,6.3005,-10.7969,75.15,91,47,5.97
139,Amapa,BR,2022-10-03 22:45:39,1.0,-52.0,80.38,66,100,4.32
140,Lavrentiya,RU,2022-10-03 22:46:39,65.5833,-171.0,39.42,68,3,3.89
141,Hithadhoo,MV,2022-10-03 22:44:31,-0.6,73.0833,81.73,71,98,15.3
142,Verkhoyansk,RU,2022-10-03 22:46:39,67.5447,133.385,21.09,94,97,2.53
143,Champerico,GT,2022-10-03 22:46:40,14.3,-91.9167,86.54,75,29,7.0
144,Zhezkazgan,KZ,2022-10-03 22:46:40,47.8043,67.7144,37.15,34,0,11.83
145,Katsuura,JP,2022-10-03 22:46:41,35.1333,140.3,76.98,72,55,18.03
146,Tra Vinh,VN,2022-10-03 22:46:41,9.9347,106.3453,76.55,94,92,4.85
147,Yabelo,ET,2022-10-03 22:46:42,4.8833,38.0833,62.2,60,88,7.61
148,Voi,KE,2022-10-03 22:46:42,-3.3945,38.563,66.52,81,33,6.93
149,Diffa,NE,2022-10-03 22:46:42,13.3154,12.6113,87.4,38,2,5.64
150,Namatanai,PG,2022-10-03 22:45:54,-3.6667,152.4333,84.88,64,98,6.42
151,Bathsheba,BB,2022-10-03 22:43:18,13.2167,-59.5167,83.01,78,20,12.66
152,Mamallapuram,IN,2022-10-03 22:46:43,12.6264,80.1722,84.25,68,100,7.11
153,Lucapa,AO,2022-10-03 22:46:43,-8.4192,20.7447,67.19,85,49,3.91
154,Tuatapere,NZ,2022-10-03 22:46:44,-46.1333,167.6833,52.43,64,99,10.63
155,Redlands,US,2022-10-03 22:45:06,34.0556,-117.1825,91.8,43,20,4.61
156,Kolomna,RU,2022-10-03 22:46:44,55.0794,38.7783,49.26,84,45,17.98
157,Naze,JP,2022-10-03 22:46:45,28.3667,129.4833,79.72,76,18,7.05
158,Monastyrshchina,RU,2022-10-03 22:46:45,54.3496,31.838,38.71,97,100,14.09
159,Tasiilaq,GL,2022-10-03 22:46:45,65.6145,-37.6368,33.96,99,100,7.23
160,Cayenne,GF,2022-10-03 22:46:46,4.9333,-52.3333,80.64,78,0,6.91
161,Tura,IN,2022-10-03 22:46:46,25.5198,90.2201,72.57,97,100,2.91
162,Yellowknife,CA,2022-10-03 22:46:46,62.456,-114.3525,48.72,57,75,10.36
163,Tieling,CN,2022-10-03 22:46:47,42.2931,123.8414,37.15,49,0,11.74
