City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Barrow,US,71.2906,-156.7887,37.42,70,0,27.63,clear sky
119,Bandhi,PK,26.5861,68.3006,91.72,26,0,6.15,clear sky
120,Neryungri,RU,56.6709,124.6491,26.37,74,100,11.27,overcast clouds
121,Hithadhoo,MV,-0.6,73.0833,80.69,78,91,17.36,overcast clouds
122,Abu Zabad,SD,12.35,29.25,75.38,74,92,6.33,overcast clouds
123,Tasiilaq,GL,65.6145,-37.6368,33.96,68,10,4.72,clear sky
124,Ottweiler,DE,49.4013,7.1642,43.79,86,0,1.88,clear sky
125,Chuy,UY,-33.6971,-53.4616,55.8,91,100,14.14,overcast clouds
126,Saskylakh,RU,71.9167,114.0833,22.51,92,99,19.17,overcast clouds
127,Paamiut,GL,61.994,-49.6678,33.89,62,100,5.44,overcast clouds
128,Ust-Nera,RU,64.5667,143.2,17.13,79,45,4.23,scattered clouds
129,Iqaluit,CA,63.7506,-68.5145,24.53,85,75,10.36,light snow
130,Teluk Intan,MY,4.0259,101.0213,77.02,61,100,5.97,overcast clouds
131,Verkhniy Lomov,RU,53.4678,43.5511,48.96,92,72,11.43,broken clouds
132,Maine-Soroa,NE,13.2114,12.0241,78.91,66,85,4.32,overcast clouds
133,Severo-Kurilsk,RU,50.6789,156.125,45.43,60,52,16.51,broken clouds
134,Pitanga,BR,-24.7572,-51.7614,62.06,99,100,5.93,overcast clouds
135,Tiksi,RU,71.6872,128.8694,20.44,88,100,31.7,light snow
136,Goundam,ML,16.4145,-3.6708,86.99,39,7,8.59,clear sky
137,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,5.75,few clouds
138,Zeerust,ZA,-25.5369,26.0751,62.64,36,0,4.59,clear sky
139,Piacabucu,BR,-10.4056,-36.4344,74.91,88,7,8.68,clear sky
140,Nuuk,GL,64.1835,-51.7216,30.81,100,75,5.75,broken clouds
141,Tongliao,CN,43.6125,122.2653,59.5,25,12,14.85,few clouds
142,Frontera,MX,26.9333,-101.45,68.32,73,100,11.01,overcast clouds
143,Kapuskasing,CA,49.4169,-82.4331,33.89,93,100,12.66,overcast clouds
144,Dali,CN,25.7,100.1833,69.04,71,66,5.57,broken clouds
145,Faanui,PF,-16.4833,-151.75,78.3,77,16,23.44,light rain
