City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Barcelos,PT,67.91,clear sky,41.5388,-8.6151,Hotel Do Terço
77,Falam,MM,76.66,few clouds,22.9167,93.6833,Falang Government Guesthouse
78,Jamestown,US,60.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
83,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
84,Eureka,US,59.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
86,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
87,Faya,SA,64.92,overcast clouds,18.3851,42.4509,شيلة نسايم
88,Lakes Entrance,AU,68.16,moderate rain,-37.8811,147.981,The Esplanade Resort & Spa
89,Leua,SK,55.49,scattered clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
93,Omboue,GA,75.6,overcast clouds,-1.5746,9.2618,Hotel Olako
98,Hobart,AU,66.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
99,Asfi,MA,70.7,broken clouds,32.2994,-9.2372,Hôtel Abda
100,Tonj,SS,69.55,few clouds,7.2737,28.6822,Lakan Hotel
102,East London,ZA,61.74,few clouds,-33.0153,27.9116,Tu Casa
103,Ojinaga,MX,70.75,clear sky,29.5667,-104.4167,Suites Las Palmas
104,Cape Town,ZA,58.37,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
105,Codrington,AU,59.49,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
106,Bethel,US,59.14,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
109,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
110,Malibu,US,70.84,broken clouds,34.005,-118.8101,Malibu Country Inn
111,Shingu,JP,69.15,overcast clouds,33.7333,135.9833,Shingu UI Hotel
113,Lata,PT,55.08,broken clouds,40.1629,-8.3327,Casa Maquia
115,New Norfolk,AU,66.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
116,Esperance,AU,57.56,overcast clouds,-33.8667,121.9,Hospitality Esperance
117,Mitsamiouli,KM,76.53,clear sky,-11.3847,43.2844,Foyer ADM
122,Abu Zabad,SD,75.38,overcast clouds,12.35,29.25,حامد محمد نور
125,Chuy,UY,55.8,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
130,Teluk Intan,MY,77.02,overcast clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
132,Maine-Soroa,NE,78.91,overcast clouds,13.2114,12.0241,Complexe
134,Pitanga,BR,62.06,overcast clouds,-24.7572,-51.7614,Hotel Santa Carmem
138,Zeerust,ZA,62.64,clear sky,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
139,Piacabucu,BR,74.91,clear sky,-10.4056,-36.4344,Piaçabuçu News
